config,archetype,policy,day,rate_med,balance_med,earned_med
bylo,casual,normal,1,9.0,35,820
bylo,casual,normal,2,25.0,2348,6450
bylo,casual,normal,3,44.0,7762,13342
bylo,casual,normal,4,66.0,15135,24412
bylo,casual,normal,5,76.0,18960,31218
bylo,casual,normal,6,94.0,36038,37738
bylo,casual,normal,7,111.8,53128,47085
bylo,casual,normal,8,137.0,59648,58402
bylo,casual,normal,9,152.5,96678,70805
bylo,casual,normal,10,169.0,149668,77520
bylo,casual,normal,11,198.5,117310,86832
bylo,casual,normal,12,206.0,145872,97492
bylo,casual,normal,13,225.5,226622,105548
bylo,casual,normal,14,278.0,340985,113480
bylo,casual,normal,15,328.0,474348,148525
bylo,casual,normal,16,338.5,601602,162355
bylo,casual,normal,17,366.0,801305,173060
bylo,casual,normal,18,377.0,980305,181715
bylo,casual,normal,19,397.2,1161645,194508
bylo,casual,normal,20,424.0,1372270,208882
bylo,casual,normal,21,415.5,1581360,216048
bylo,casual,normal,22,458.8,1788375,213115
bylo,casual,normal,23,477.0,2028735,229668
bylo,casual,normal,24,523.0,2270918,241118
bylo,casual,normal,25,555.5,2553905,266575
bylo,casual,normal,26,563.0,2846578,280662
bylo,casual,normal,27,586.5,3146635,288092
bylo,casual,normal,28,621.5,3425740,293940
bylo,casual,normal,29,635.5,3736380,313785
bylo,casual,normal,30,660.0,4064860,325172
stalo,casual,normal,1,3.0,35,60
stalo,casual,normal,2,12.0,15,865
stalo,casual,normal,3,15.0,362,3080
stalo,casual,normal,4,26.0,3188,4055
stalo,casual,normal,5,38.0,3255,6942
stalo,casual,normal,6,35.0,4799,9540
stalo,casual,normal,7,45.5,12218,9304
stalo,casual,normal,8,54.5,13555,11718
stalo,casual,normal,9,59.0,11030,14100
stalo,casual,normal,10,66.0,17315,15492
stalo,casual,normal,11,74.5,31026,17040
stalo,casual,normal,12,81.5,42086,19568
stalo,casual,normal,13,90.8,45799,21315
stalo,casual,normal,14,96.5,30909,23545
stalo,casual,normal,15,97.0,33786,25165
stalo,casual,normal,16,97.0,48535,25220
stalo,casual,normal,17,92.0,43274,25238
stalo,casual,normal,18,92.0,37131,23920
stalo,casual,normal,19,90.0,43819,23435
stalo,casual,normal,20,92.0,59459,22988
stalo,casual,normal,21,105.0,78942,23945
